t_perf,t_wall,value,rtt_ms
44.407832,1783017355.688473,88.5,345.111
44.742173,1783017356.022816,87.75,334.321
45.092577,1783017356.373219,86.75,350.381
45.443735,1783017356.724377,86,351.138
45.788318,1783017357.068960,85,344.548
46.138720,1783017357.419361,84.25,350.382
46.484299,1783017357.764941,83.25,345.544
46.817414,1783017358.098055,82.5,333.082
47.162672,1783017358.443330,81.75,345.241
47.511025,1783017358.791667,80.75,348.318
47.859480,1783017359.140121,80,348.436
48.202150,1783017359.482793,79,342.653
48.535711,1783017359.816353,78.25,333.539
48.894572,1783017360.175214,77.25,358.826
49.225981,1783017360.506623,76.5,331.387
49.570578,1783017360.851220,75.5,344.575
49.920999,1783017361.201643,74.75,350.401
50.254075,1783017361.534718,74,333.048
50.606599,1783017361.887240,73,352.500
50.957622,1783017362.238265,72.25,351.000
51.307434,1783017362.588076,71.25,349.787
51.644080,1783017362.924721,70.5,336.626
51.977923,1783017363.258566,69.5,333.679
52.336313,1783017363.616953,68.75,358.367
52.687260,1783017363.967903,67.75,350.930
53.030321,1783017364.310961,67,343.039
53.379790,1783017364.660431,66,349.453
53.714075,1783017364.994715,65.25,334.266
54.061574,1783017365.342220,64.5,347.483
54.415715,1783017365.696356,63.5,354.105
54.763748,1783017366.044392,62.75,348.015
55.110069,1783017366.390711,61.75,346.291
55.452089,1783017366.732731,61,341.976
55.797939,1783017367.078580,60,345.830
56.153538,1783017367.434179,59.25,355.583
56.501094,1783017367.781735,58.25,347.537
56.853069,1783017368.133731,57.5,351.940
57.202404,1783017368.483045,56.5,349.290
57.544773,1783017368.825414,55.75,342.350
57.882038,1783017369.162680,54.75,337.246
58.233780,1783017369.514421,54,351.720
58.580946,1783017369.861588,53,347.147
58.935992,1783017370.216640,52.25,355.026
59.280097,1783017370.560741,51.25,344.064
59.624991,1783017370.905632,50.5,344.865
59.968537,1783017371.249177,49.5,343.528
60.310955,1783017371.591597,48.75,342.403
60.645531,1783017371.926175,48,334.554
60.999745,1783017372.280386,47,354.189
61.335456,1783017372.616096,46.25,335.691
61.684193,1783017372.964836,45.25,348.720
62.030681,1783017373.311326,44.5,346.466
62.375772,1783017373.656412,43.5,345.064
62.720339,1783017374.000980,42.75,344.551
63.072994,1783017374.353637,41.75,352.637
63.423907,1783017374.704548,41,350.891
63.767309,1783017375.047950,40,343.385
64.103938,1783017375.384579,39.25,336.613
64.447339,1783017375.727980,38.5,343.366
64.781239,1783017376.061879,37.5,333.881
65.128546,1783017376.409187,36.75,347.273
65.468476,1783017376.749120,35.75,339.912
65.817547,1783017377.098190,35,349.046
66.166914,1783017377.447555,34,349.345
66.514128,1783017377.794772,33.25,347.198
66.861673,1783017378.142315,32.5,347.516
67.203368,1783017378.484008,31.5,341.675
67.554042,1783017378.834685,30.75,350.658
67.906439,1783017379.187079,29.75,352.345
68.252139,1783017379.532779,29,345.682
68.588474,1783017379.869117,28,336.317
68.939108,1783017380.219750,27.25,350.611
69.291986,1783017380.572626,26.25,352.730
69.642249,1783017380.922892,25.5,350.235
69.999713,1783017381.280355,24.5,357.441
70.345860,1783017381.626502,23.75,346.125
70.695202,1783017381.975845,22.75,349.322
71.043717,1783017382.324359,22,348.399
71.396702,1783017382.677343,21,352.963
71.741588,1783017383.022229,20.25,344.868
72.091672,1783017383.372316,19.25,350.065
72.440614,1783017383.721256,18.5,348.915
72.785088,1783017384.065730,17.5,344.439
73.138985,1783017384.419628,16.75,353.877
73.484667,1783017384.765308,15.75,345.660
73.837047,1783017385.117689,15,352.343
74.188988,1783017385.469630,14,351.921
74.545944,1783017385.826584,13.25,356.937
74.881145,1783017386.161788,12.25,335.183
75.235695,1783017386.516335,11.5,354.527
75.569837,1783017386.850480,10.5,334.124
75.919491,1783017387.200137,9.75,349.631
76.265908,1783017387.546549,8.75,346.385
76.614607,1783017387.895248,8,348.681
76.947373,1783017388.228014,7.25,332.748
77.292259,1783017388.572900,6.25,344.867
77.627171,1783017388.907811,5.5,334.893
77.974443,1783017389.255084,4.5,347.256
78.307279,1783017389.587920,3.75,332.816
78.656795,1783017389.937438,3,349.497
79.000596,1783017390.281237,2,343.778
79.345025,1783017390.625666,1.25,344.410
79.688515,1783017390.969156,0.25,343.457
80.034163,1783017391.314804,0.5,345.612
80.383950,1783017391.664592,1.5,349.768
80.727491,1783017392.008133,2.25,343.522
81.074814,1783017392.355455,3.25,347.304
81.423380,1783017392.704022,4,348.546
81.757723,1783017393.038364,4.75,334.323
82.094284,1783017393.374942,5.75,336.541
82.447356,1783017393.727996,6.5,353.034
82.796410,1783017394.077050,7.5,349.036
83.148013,1783017394.428654,8.25,351.587
83.495342,1783017394.775983,9.25,347.310
83.829611,1783017395.110257,10,334.252
84.166780,1783017395.447420,11,337.140
84.498391,1783017395.779034,11.75,331.596
84.837222,1783017396.117862,12.5,338.806
85.186917,1783017396.467557,13.5,349.678
85.540073,1783017396.820714,14.25,353.141
85.892388,1783017397.173028,15.25,352.295
86.241549,1783017397.522191,16,349.145
86.593084,1783017397.873728,17,351.319
86.937177,1783017398.217818,17.75,344.060
87.270845,1783017398.551486,18.75,333.651
87.627486,1783017398.908129,19.5,356.620
87.974498,1783017399.255142,20.5,346.973
88.308803,1783017399.589446,21.25,334.265
88.644927,1783017399.925569,22,336.086
88.988478,1783017400.269119,23,343.517
89.336329,1783017400.616970,23.75,347.834
89.670084,1783017400.950727,24.75,333.736
90.013501,1783017401.294142,25.5,343.392
90.363315,1783017401.643958,26.25,349.794
90.702851,1783017401.983491,27.25,339.497
91.057112,1783017402.337753,28,354.245
91.388929,1783017402.669576,29,331.797
91.722203,1783017403.002846,29.75,333.242
92.065258,1783017403.345899,30.75,343.017
92.413930,1783017403.694573,31.5,348.655
92.764274,1783017404.044918,32.25,350.320
93.110094,1783017404.390735,33.25,345.794
93.452195,1783017404.732838,34,342.084
93.802262,1783017405.082904,35,350.044
94.150403,1783017405.431043,35.75,348.121
94.498516,1783017405.779157,36.75,348.096
94.847933,1783017406.128574,37.5,349.397
95.181660,1783017406.462302,38.5,333.693
95.533035,1783017406.813676,39.25,351.353
95.876347,1783017407.156988,40.25,343.295
96.211370,1783017407.492010,41,335.006
96.562351,1783017407.842992,41.75,350.964
96.906660,1783017408.187300,42.75,344.292
97.257309,1783017408.537952,43.5,350.633
97.607957,1783017408.888599,44.5,350.598
97.951116,1783017409.231760,45.25,343.140
98.299337,1783017409.579979,46.25,348.194
98.645518,1783017409.926159,47,346.161
98.979280,1783017410.259923,48,333.743
99.314686,1783017410.595327,48.75,335.382
99.671551,1783017410.952192,49.75,356.847
100.004484,1783017411.285125,50.5,332.900
100.351115,1783017411.631757,51.25,346.612
100.699849,1783017411.980507,52.25,348.712
101.052521,1783017412.333163,53,352.636
101.405822,1783017412.686462,54,353.281
101.750021,1783017413.030662,54.75,344.165
102.085442,1783017413.366085,55.75,335.399
102.419706,1783017413.700351,56.5,334.241
102.762936,1783017414.043577,57.25,343.190
103.108341,1783017414.388982,58.25,345.385
103.442043,1783017414.722684,59,333.681
103.775926,1783017415.056569,60,333.719
104.109174,1783017415.389816,60.75,333.226
104.442798,1783017415.723439,61.5,333.606
104.775169,1783017416.055810,62.5,332.354
105.119982,1783017416.400625,63.25,344.794
105.455757,1783017416.736399,64,335.750
105.805932,1783017417.086573,65,350.156
106.155783,1783017417.436424,65.75,349.834
106.502047,1783017417.782687,66.75,346.244
106.858175,1783017418.138817,67.5,356.112
107.192761,1783017418.473402,68.5,334.566
107.527807,1783017418.808449,69.25,334.991
107.881701,1783017419.162344,70.25,353.874
108.232746,1783017419.513389,71,351.009
108.576732,1783017419.857373,72,343.959
108.922221,1783017420.202862,72.75,345.469
109.276570,1783017420.557212,73.75,354.307
109.609524,1783017420.890166,74.5,332.933
109.957221,1783017421.237863,75.25,347.676
110.291708,1783017421.572350,76.25,334.467
110.624130,1783017421.904770,77,332.400
