0.935623000,192.168.1.12,192.168.1.10,301,242
0.936076000,192.168.1.10,192.168.1.12,60,
0.937139000,192.168.1.12,192.168.1.10,1514,
0.937176000,192.168.1.12,192.168.1.10,1514,
0.937473000,192.168.1.12,192.168.1.10,1514,
0.937511000,192.168.1.12,192.168.1.10,1514,
0.937962000,192.168.1.10,192.168.1.12,60,
0.938461000,192.168.1.12,192.168.1.10,1514,
0.938463000,192.168.1.12,192.168.1.10,492,7733
0.938464000,192.168.1.10,192.168.1.12,60,
0.959298000,192.168.1.10,192.168.1.12,662,603
0.961576000,192.168.1.10,192.168.1.12,66,
0.961880000,192.168.1.10,192.168.1.12,66,
0.962630000,192.168.1.12,192.168.1.10,60,
0.962857000,192.168.1.10,192.168.1.12,60,
0.963543000,192.168.1.10,192.168.1.12,1514,
0.963545000,192.168.1.10,192.168.1.12,374,1775
0.963729000,192.168.1.12,192.168.1.10,60,
0.963754000,192.168.1.10,192.168.1.12,60,
0.964540000,192.168.1.10,192.168.1.12,1514,
0.964542000,192.168.1.10,192.168.1.12,406,1807
0.964784000,192.168.1.12,192.168.1.10,60,
0.964993000,192.168.1.12,192.168.1.10,308,249
0.965498000,192.168.1.12,192.168.1.10,60,
0.973302000,192.168.1.12,192.168.1.10,1514,
0.973303000,192.168.1.12,192.168.1.10,1514,
0.973305000,192.168.1.10,192.168.1.12,60,
0.973548000,192.168.1.12,192.168.1.10,1514,
0.973550000,192.168.1.12,192.168.1.10,1514,
0.974104000,192.168.1.10,192.168.1.12,60,
0.974483000,192.168.1.12,192.168.1.10,1514,
0.974485000,192.168.1.12,192.168.1.10,968,8209
0.974541000,192.168.1.10,192.168.1.12,60,
0.976608000,192.168.1.12,192.168.1.10,1514,
0.976652000,192.168.1.12,192.168.1.10,1514,
0.976724000,192.168.1.10,192.168.1.12,60,
0.977465000,192.168.1.12,192.168.1.10,1514,
0.977467000,192.168.1.12,192.168.1.10,1514,
0.977925000,192.168.1.10,192.168.1.12,60,
0.978476000,192.168.1.12,192.168.1.10,1514,
0.978478000,192.168.1.12,192.168.1.10,153,88\,1
0.978479000,192.168.1.12,192.168.1.10,600,
0.978480000,192.168.1.12,192.168.1.10,422,8209
0.979020000,192.168.1.10,192.168.1.12,60,
0.979546000,192.168.1.10,192.168.1.12,648,1\,583
0.980555000,192.168.1.12,192.168.1.10,1514,
0.980557000,192.168.1.12,192.168.1.10,1514,
0.981125000,192.168.1.10,192.168.1.12,60,
0.981471000,192.168.1.12,192.168.1.10,1514,
0.981472000,192.168.1.12,192.168.1.10,1514,
0.982138000,192.168.1.10,192.168.1.12,60,
0.982303000,192.168.1.12,192.168.1.10,600,
0.982506000,192.168.1.12,192.168.1.10,1514,
0.982507000,192.168.1.12,192.168.1.10,422,8209
0.982509000,192.168.1.12,192.168.1.10,153,88\,1
0.983150000,192.168.1.10,192.168.1.12,60,
0.983477000,192.168.1.12,192.168.1.10,1514,
0.983479000,192.168.1.10,192.168.1.12,680,1\,615
0.983680000,192.168.1.12,192.168.1.10,1514,
0.983682000,192.168.1.10,192.168.1.12,60,
0.984311000,192.168.1.12,192.168.1.10,600,
0.984449000,192.168.1.10,192.168.1.12,60,
0.984941000,192.168.1.12,192.168.1.10,1514,
0.985464000,192.168.1.12,192.168.1.10,1514,
0.985784000,192.168.1.12,192.168.1.10,1514,
0.985785000,192.168.1.10,192.168.1.12,60,
0.986269000,192.168.1.12,192.168.1.10,422,8209
0.986477000,192.168.1.10,192.168.1.12,60,
0.988450000,192.168.1.12,192.168.1.10,1514,
0.988597000,192.168.1.12,192.168.1.10,1514,
0.988944000,192.168.1.10,192.168.1.12,60,
0.989457000,192.168.1.12,192.168.1.10,1514,
0.989482000,192.168.1.12,192.168.1.10,1514,
0.990076000,192.168.1.10,192.168.1.12,60,
0.990477000,192.168.1.12,192.168.1.10,1514,
0.990478000,192.168.1.12,192.168.1.10,968,8209
0.991463000,192.168.1.12,192.168.1.10,1514,
0.991487000,192.168.1.12,192.168.1.10,1514,
0.991795000,192.168.1.10,192.168.1.12,60,
0.992301000,192.168.1.12,192.168.1.10,600,
0.992517000,192.168.1.12,192.168.1.10,1514,
0.993475000,192.168.1.12,192.168.1.10,1514,
0.993476000,192.168.1.12,192.168.1.10,1514,
0.993478000,192.168.1.10,192.168.1.12,60,
0.993712000,192.168.1.10,192.168.1.12,60,
0.994269000,192.168.1.12,192.168.1.10,422,8209
0.995379000,192.168.1.12,192.168.1.10,1514,
0.995380000,192.168.1.12,192.168.1.10,1514,
0.995589000,192.168.1.12,192.168.1.10,600,
0.995591000,192.168.1.10,192.168.1.12,60,
0.995592000,192.168.1.10,192.168.1.12,60,
0.996474000,192.168.1.12,192.168.1.10,1514,
0.996506000,192.168.1.12,192.168.1.10,1514,
0.996906000,192.168.1.10,192.168.1.12,60,
0.997520000,192.168.1.12,192.168.1.10,1514,
0.997523000,192.168.1.12,192.168.1.10,422,8209
0.998016000,192.168.1.10,192.168.1.12,60,
0.998514000,192.168.1.12,192.168.1.10,1514,
0.998516000,192.168.1.12,192.168.1.10,1514,
0.999391000,192.168.1.12,192.168.1.10,1146,
0.999593000,192.168.1.12,192.168.1.10,1514,
0.999766000,192.168.1.10,192.168.1.12,60,
1.000460000,192.168.1.12,192.168.1.10,1514,
1.000461000,192.168.1.12,192.168.1.10,1336,8209
1.000972000,192.168.1.10,192.168.1.12,60,
1.001702000,192.168.1.12,192.168.1.10,1514,
1.001718000,192.168.1.12,192.168.1.10,1514,
1.002439000,192.168.1.12,192.168.1.10,1514,
1.002440000,192.168.1.10,192.168.1.12,60,
1.002457000,192.168.1.12,192.168.1.10,1514,
1.003216000,192.168.1.12,192.168.1.10,232,
1.003734000,192.168.1.10,192.168.1.12,60,
1.004013000,192.168.1.12,192.168.1.10,1514,
1.004015000,192.168.1.12,192.168.1.10,790,8209
1.004639000,192.168.1.10,192.168.1.12,60,
1.005809000,192.168.1.12,192.168.1.10,1514,
1.005875000,192.168.1.12,192.168.1.10,1514,
1.006490000,192.168.1.12,192.168.1.10,1514,
1.006493000,192.168.1.10,192.168.1.12,60,
1.006625000,192.168.1.12,192.168.1.10,1514,
1.006627000,192.168.1.10,192.168.1.12,60,
1.007354000,192.168.1.12,192.168.1.10,778,
1.007539000,192.168.1.12,192.168.1.10,1514,
1.007540000,192.168.1.12,192.168.1.10,244,8209
1.007817000,192.168.1.10,192.168.1.12,60,
1.008692000,192.168.1.12,192.168.1.10,1514,
1.008693000,192.168.1.12,192.168.1.10,1514,
1.009292000,192.168.1.10,192.168.1.12,60,
1.009462000,192.168.1.12,192.168.1.10,1514,
1.009464000,192.168.1.12,192.168.1.10,600,
1.009465000,192.168.1.12,192.168.1.10,763,5630
1.009698000,192.168.1.10,192.168.1.12,60,
1.010418000,192.168.1.10,192.168.1.12,666,607
1.017222000,192.168.1.12,192.168.1.10,300,241
1.018708000,192.168.1.12,192.168.1.10,1514,
1.018846000,192.168.1.12,192.168.1.10,1514,
1.018848000,192.168.1.10,192.168.1.12,60,
1.019310000,192.168.1.12,192.168.1.10,662,3523
1.019611000,192.168.1.10,192.168.1.12,60,
1.020552000,192.168.1.10,192.168.1.12,652,593
1.027688000,192.168.1.12,192.168.1.10,308,249
1.029898000,192.168.1.12,192.168.1.10,1514,
1.030191000,192.168.1.12,192.168.1.10,1514,
1.030193000,192.168.1.10,192.168.1.12,60,
1.030469000,192.168.1.12,192.168.1.10,1514,
